player_id,player_name_last_first,season,team_abbrev,pitch_hand,num_pitches,four_seam_speed,four_seam_spin,four_seam_pct,sinker_speed,sinker_spin,sinker_pct,cutter_speed,cutter_spin,cutter_pct,slider_speed,slider_spin,slider_pct,change_up_speed,change_up_spin,change_up_pct,curve_speed,curve_spin,curve_pct,splitter_speed,splitter_spin,splitter_pct,plate_appearances
656061,"Abreu, Albert",2020,NYY,R,43,96.4,2018,0.511627907,NULL,NULL,0,NULL,NULL,0,85.8,2140,0.186046512,86.7,1934,0.23255814,81.7,2518,0.069767442,NULL,NULL,0,11
656186,"Altavilla, Dan",2020,SD,R,363,97.3,2351,0.468319559,NULL,NULL,0,NULL,NULL,0,90,2608,0.531680441,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,89
656222,"Beeks, Jalen",2020,TB,L,323,93,2035,0.424148607,NULL,NULL,0,86.4,2242,0.139318885,NULL,NULL,0,88,1902,0.436532508,NULL,NULL,0,NULL,NULL,0,81
656232,"Bielak, Brandon",2020,HOU,R,597,93.2,2327,0.494137353,89.3,2218,0.001675042,88.9,2534,0.13400335,83.4,2417,0.112227806,86.4,1868,0.174204355,79.7,2424,0.083752094,NULL,NULL,0,148
656240,"Blewett, Scott",2020,KC,R,62,93.1,2171,0.274193548,93,1915,0.306451613,NULL,NULL,0,84.1,2065,0.322580645,86.6,1290,0.080645161,81.4,2167,0.016129032,NULL,NULL,0,16
656257,"Brigham, Jeff",2020,MIA,R,22,94.2,2312,0.681818182,NULL,NULL,0,NULL,NULL,0,81.9,2813,0.318181818,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,5
656288,"Canning, Griffin",2020,LAA,R,965,92.8,2360,0.406217617,NULL,NULL,0,88.6,2367,0.201036269,86.5,2601,0.226943005,87.9,1760,0.152331606,82.1,2467,0.013471503,NULL,NULL,0,238
656302,"Cease, Dylan",2020,CWS,R,1085,97.5,2521,0.478341014,NULL,NULL,0,NULL,NULL,0,85,2801,0.301382488,82.9,1789,0.12718894,79,2680,0.093087558,NULL,NULL,0,255
656322,"Coonrod, Sam",2020,SF,R,297,98.4,2416,0.272727273,97.6,2075,0.313131313,93.6,2562,0.063973064,88.7,2659,0.138047138,88.8,1787,0.188552189,82.4,2920,0.023569024,NULL,NULL,0,71
656353,"Davidson, Tucker",2020,ATL,L,53,92,1966,0.754716981,NULL,NULL,0,NULL,NULL,0,86.3,2117,0.132075472,NULL,NULL,0,76.3,2253,0.113207547,NULL,NULL,0,13
656354,"Davis, Austin",2020,PIT,L,127,93.4,2293,0.527559055,NULL,NULL,0,NULL,NULL,0,84.3,2364,0.125984252,84.5,2147,0.157480315,80.4,2481,0.188976378,NULL,NULL,0,32
656382,"Doyle, Tommy",2020,COL,R,76,94.5,2019,0.25,94.9,1878,0.342105263,NULL,NULL,0,86.9,2233,0.394736842,90.4,1582,0.013157895,NULL,NULL,0,NULL,NULL,0,17
656420,"Feyereisen, J.P.",2020,MIL,R,150,93.4,2569,0.54,NULL,NULL,0,NULL,NULL,0,84.1,2874,0.28,87.5,1697,0.18,NULL,NULL,0,NULL,NULL,0,37
656427,"Flaherty, Jack",2020,STL,R,719,94,2199,0.442280946,92.1,2038,0.114047288,NULL,NULL,0,84.4,2347,0.28650904,85.7,1842,0.020862309,77.3,2417,0.136300417,NULL,NULL,0,170
656464,"Ginkel, Kevin",2020,ARI,R,340,95.5,2387,0.597058824,NULL,NULL,0,NULL,NULL,0,84,2225,0.394117647,84.9,1872,0.008823529,NULL,NULL,0,NULL,NULL,0,79
656492,"Griffin, Foster",2020,KC,L,23,91.8,2076,0.304347826,NULL,NULL,0,86.1,2279,0.52173913,NULL,NULL,0,85.2,1995,0.130434783,79.9,2234,0.043478261,NULL,NULL,0,6
656546,"Hoffman, Jeff",2020,COL,R,399,94.4,2425,0.546365915,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,85.3,1409,0.273182957,77.7,2541,0.180451128,NULL,NULL,0,104
656547,"Holder, Jonathan",2020,NYY,R,397,92.1,2399,0.523929471,NULL,NULL,0,87.3,2530,0.098236776,80.7,2736,0.100755668,87.2,1775,0.241813602,77.6,2906,0.035264484,NULL,NULL,0,101
656548,"Holloway, Jordan",2020,MIA,R,16,96.9,2322,0.625,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,90.6,1793,0.0625,79.9,2355,0.3125,NULL,NULL,0,4
656557,"Houck, Tanner",2020,BOS,R,265,92.8,2066,0.369811321,90.9,2082,0.245283019,NULL,NULL,0,82.2,2476,0.354716981,NULL,NULL,0,NULL,NULL,0,87.1,1571,0.030188679,63
656605,"Keller, Mitch",2020,PIT,R,385,93.9,2327,0.557291667,NULL,NULL,0,NULL,NULL,0,86.9,2425,0.21875,88.8,1807,0.03125,78.1,2601,0.192708333,NULL,NULL,0,87
656685,"Martin, Brett",2020,TEX,L,222,93.9,2261,0.328828829,94.2,2213,0.202702703,NULL,NULL,0,87.5,2235,0.333333333,NULL,NULL,0,83.2,2050,0.135135135,NULL,NULL,0,61
656725,"McRae, Alex",2020,CWS,R,33,92.3,2148,0.424242424,92.3,2256,0.181818182,NULL,NULL,0,NULL,NULL,0,87,1674,0.090909091,82.1,2319,0.303030303,NULL,NULL,0,10
656756,"Montgomery, Jordan",2020,NYY,L,747,92.6,2301,0.190093708,92.5,2180,0.266398929,89.9,2398,0.066934404,NULL,NULL,0,83.2,1756,0.255689424,80.5,2280,0.220883534,NULL,NULL,0,193
656793,"Nelson, Nick",2020,NYY,R,374,96.3,2092,0.572192513,NULL,NULL,0,NULL,NULL,0,84.6,2681,0.117647059,88.6,1787,0.245989305,79.8,2630,0.064171123,NULL,NULL,0,90
656794,"Newcomb, Sean",2020,ATL,L,300,93.4,2307,0.54,NULL,NULL,0,NULL,NULL,0,79.6,2858,0.096666667,87,1570,0.2,76.8,2826,0.163333333,NULL,NULL,0,70
656803,"Norwood, James",2020,CHC,R,32,97.6,2381,0.53125,96.4,2402,0.15625,NULL,NULL,0,83.2,1910,0.0625,NULL,NULL,0,NULL,NULL,0,88.4,915,0.25,9
656849,"Peterson, David",2020,NYM,L,812,92.1,2098,0.374384236,91.8,2082,0.157635468,NULL,NULL,0,81.3,2181,0.25862069,83.7,1928,0.187192118,74.4,2143,0.022167488,NULL,NULL,0,205
